Frames, Page Fault Rate
1, 0.629737
2, 0.238177
3, 0.167034
4, 0.119315
5, 0.094345
6, 0.065005
7, 0.049175
8, 0.040064
9, 0.028413
10, 0.020711
11, 0.004888
12, 0.004706
13, 0.004425
14, 0.004358
15, 0.004216
16, 0.004020
17, 0.003883
18, 0.003782
19, 0.003686
20, 0.003641
21, 0.003501
22, 0.003497
23, 0.003341
24, 0.003196
25, 0.003175
26, 0.003105
27, 0.002981
28, 0.002966
29, 0.002904
30, 0.002962
31, 0.002789
32, 0.002845
33, 0.002789
34, 0.002687
35, 0.002617
36, 0.002750
37, 0.002595
38, 0.002673
39, 0.002697
40, 0.002565
41, 0.002499
42, 0.002491
43, 0.002525
44, 0.002398
45, 0.002380
46, 0.002336
47, 0.002324
48, 0.002356
49, 0.002451
50, 0.002353
51, 0.002332
52, 0.002258
53, 0.002309
54, 0.002269
55, 0.002315
56, 0.002378
57, 0.002195
58, 0.002294
59, 0.002196
60, 0.002136
61, 0.002272
62, 0.001983
63, 0.002216
64, 0.002032
65, 0.002033
66, 0.001984
67, 0.001930
68, 0.001943
69, 0.002069
70, 0.001955
71, 0.001914
72, 0.001885
73, 0.001751
74, 0.001915
75, 0.001932
76, 0.002129
77, 0.001945
78, 0.001848
79, 0.001969
80, 0.001852
81, 0.001918
82, 0.001925
83, 0.001738
84, 0.001646
85, 0.001812
86, 0.001810
87, 0.001811
88, 0.001669
89, 0.001935
90, 0.001631
91, 0.001665
92, 0.001686
93, 0.001812
94, 0.001830
95, 0.001839
96, 0.001606
97, 0.001510
98, 0.001709
99, 0.001763
100, 0.001669
