Frames, Page Fault Rate
1, 0.629737
2, 0.228838
3, 0.146923
4, 0.111442
5, 0.091344
6, 0.063386
7, 0.040696
8, 0.046164
9, 0.041877
10, 0.029228
11, 0.004401
12, 0.004126
13, 0.003884
14, 0.003710
15, 0.003576
16, 0.003468
17, 0.003380
18, 0.003305
19, 0.003237
20, 0.003162
21, 0.003108
22, 0.003037
23, 0.003020
24, 0.002917
25, 0.002835
26, 0.002762
27, 0.002713
28, 0.002429
29, 0.002394
30, 0.002356
31, 0.002304
32, 0.002203
33, 0.002140
34, 0.002048
35, 0.001913
36, 0.001877
37, 0.001840
38, 0.001824
39, 0.001792
40, 0.001739
41, 0.001710
42, 0.001693
43, 0.001688
44, 0.001655
45, 0.001638
46, 0.001617
47, 0.001562
48, 0.001557
49, 0.001546
50, 0.001529
51, 0.001509
52, 0.001498
53, 0.001490
54, 0.001472
55, 0.001458
56, 0.001445
57, 0.001417
58, 0.001408
59, 0.001407
60, 0.001403
61, 0.001401
62, 0.001369
63, 0.001336
64, 0.001318
65, 0.001303
66, 0.001307
67, 0.001303
68, 0.001290
69, 0.001260
70, 0.001237
71, 0.001222
72, 0.001198
73, 0.001202
74, 0.001189
75, 0.001169
76, 0.001146
77, 0.001143
78, 0.001130
79, 0.001063
80, 0.001043
81, 0.001033
82, 0.001027
83, 0.001027
84, 0.001033
85, 0.001029
86, 0.001032
87, 0.001024
88, 0.001005
89, 0.001009
90, 0.001022
91, 0.001013
92, 0.001008
93, 0.000999
94, 0.000992
95, 0.000977
96, 0.000976
97, 0.000954
98, 0.000955
99, 0.000948
100, 0.000945
