Frames, Page Fault Rate
1, 0.629737
2, 0.154429
3, 0.120104
4, 0.092770
5, 0.067548
6, 0.043585
7, 0.038379
8, 0.030691
9, 0.023900
10, 0.017120
11, 0.004108
12, 0.003907
13, 0.003734
14, 0.003598
15, 0.003464
16, 0.003344
17, 0.003215
18, 0.003154
19, 0.003059
20, 0.003001
21, 0.002936
22, 0.002870
23, 0.002774
24, 0.002702
25, 0.002642
26, 0.002544
27, 0.002471
28, 0.002301
29, 0.002260
30, 0.002236
31, 0.002178
32, 0.002133
33, 0.002075
34, 0.001922
35, 0.001881
36, 0.001850
37, 0.001795
38, 0.001769
39, 0.001744
40, 0.001710
41, 0.001663
42, 0.001624
43, 0.001594
44, 0.001568
45, 0.001548
46, 0.001527
47, 0.001514
48, 0.001490
49, 0.001451
50, 0.001437
51, 0.001420
52, 0.001397
53, 0.001384
54, 0.001368
55, 0.001359
56, 0.001347
57, 0.001336
58, 0.001325
59, 0.001317
60, 0.001307
61, 0.001296
62, 0.001287
63, 0.001279
64, 0.001264
65, 0.001252
66, 0.001238
67, 0.001221
68, 0.001201
69, 0.001182
70, 0.001175
71, 0.001162
72, 0.001154
73, 0.001140
74, 0.001134
75, 0.001127
76, 0.001115
77, 0.001089
78, 0.001066
79, 0.001055
80, 0.001050
81, 0.001040
82, 0.001033
83, 0.001013
84, 0.001004
85, 0.000994
86, 0.000988
87, 0.000980
88, 0.000972
89, 0.000970
90, 0.000965
91, 0.000957
92, 0.000954
93, 0.000952
94, 0.000948
95, 0.000942
96, 0.000937
97, 0.000926
98, 0.000922
99, 0.000912
100, 0.000906
