Frames, Page Fault Rate
1, 0.716106
2, 0.460912
3, 0.342995
4, 0.276968
5, 0.239348
6, 0.214500
7, 0.196688
8, 0.181856
9, 0.169348
10, 0.158661
11, 0.150083
12, 0.142502
13, 0.136246
14, 0.130648
15, 0.125857
16, 0.121682
17, 0.117882
18, 0.114639
19, 0.111673
20, 0.108959
21, 0.106652
22, 0.104457
23, 0.102391
24, 0.100413
25, 0.098516
26, 0.096701
27, 0.094994
28, 0.093415
29, 0.091829
30, 0.090537
31, 0.089130
32, 0.087686
33, 0.086393
34, 0.085133
35, 0.083945
36, 0.082664
37, 0.081504
38, 0.080418
39, 0.079366
40, 0.078329
41, 0.077447
42, 0.076525
43, 0.075768
44, 0.074818
45, 0.073983
46, 0.073195
47, 0.072423
48, 0.071639
49, 0.070893
50, 0.070204
51, 0.069482
52, 0.068847
53, 0.068121
54, 0.067411
55, 0.066808
56, 0.066255
57, 0.065669
58, 0.064990
59, 0.064448
60, 0.063854
61, 0.063238
62, 0.062737
63, 0.062150
64, 0.061640
65, 0.061224
66, 0.060760
67, 0.060186
68, 0.059776
69, 0.059294
70, 0.058830
71, 0.058410
72, 0.057924
73, 0.057479
74, 0.056973
75, 0.056619
76, 0.056101
77, 0.055743
78, 0.055282
79, 0.054841
80, 0.054406
81, 0.053933
82, 0.053500
83, 0.053134
84, 0.052658
85, 0.052262
86, 0.051846
87, 0.051507
88, 0.051109
89, 0.050788
90, 0.050403
91, 0.050067
92, 0.049753
93, 0.049455
94, 0.049180
95, 0.048930
96, 0.048641
97, 0.048327
98, 0.048109
99, 0.047850
100, 0.047619
