Frames, Page Fault Rate
1, 0.716106
2, 0.715794
3, 0.715789
4, 0.715743
5, 0.715729
6, 0.715729
7, 0.715723
8, 0.715723
9, 0.715723
10, 0.715662
11, 0.715662
12, 0.715044
13, 0.715009
14, 0.702470
15, 0.702470
16, 0.702470
17, 0.702470
18, 0.702470
19, 0.701849
20, 0.700987
21, 0.700941
22, 0.700940
23, 0.700940
24, 0.700936
25, 0.700936
26, 0.634474
27, 0.634425
28, 0.634425
29, 0.634410
30, 0.634406
31, 0.634406
32, 0.634405
33, 0.634390
34, 0.634313
35, 0.634310
36, 0.634307
37, 0.631186
38, 0.630628
39, 0.630628
40, 0.630592
41, 0.600955
42, 0.600930
43, 0.600930
44, 0.599858
45, 0.599858
46, 0.598561
47, 0.598522
48, 0.598521
49, 0.598521
50, 0.598509
51, 0.598509
52, 0.598509
53, 0.598507
54, 0.598476
55, 0.598088
56, 0.598072
57, 0.597961
58, 0.450373
59, 0.450362
60, 0.447190
61, 0.447190
62, 0.447188
63, 0.447123
64, 0.447123
65, 0.447099
66, 0.447091
67, 0.447089
68, 0.447089
69, 0.447048
70, 0.447048
71, 0.447010
72, 0.446988
73, 0.446953
74, 0.446936
75, 0.446377
76, 0.446168
77, 0.446145
78, 0.446142
79, 0.445965
80, 0.445941
81, 0.445938
82, 0.445938
83, 0.445937
84, 0.445937
85, 0.445934
86, 0.445925
87, 0.445925
88, 0.445769
89, 0.445749
90, 0.445749
91, 0.445728
92, 0.445728
93, 0.445728
94, 0.445714
95, 0.445684
96, 0.445638
97, 0.443359
98, 0.443353
99, 0.443296
100, 0.443296
