Frames, Page Fault Rate
1, 0.792379
2, 0.483161
3, 0.367558
4, 0.282620
5, 0.234662
6, 0.207280
7, 0.189472
8, 0.176496
9, 0.165150
10, 0.154678
11, 0.144839
12, 0.135644
13, 0.127454
14, 0.120132
15, 0.113953
16, 0.108682
17, 0.103968
18, 0.099691
19, 0.095766
20, 0.092319
21, 0.089066
22, 0.086113
23, 0.083458
24, 0.081089
25, 0.078896
26, 0.076853
27, 0.075034
28, 0.073341
29, 0.071751
30, 0.070374
31, 0.069014
32, 0.067747
33, 0.066484
34, 0.065429
35, 0.064338
36, 0.063294
37, 0.062301
38, 0.061329
39, 0.060433
40, 0.059591
41, 0.058761
42, 0.057921
43, 0.057139
44, 0.056376
45, 0.055695
46, 0.055062
47, 0.054398
48, 0.053807
49, 0.053245
50, 0.052699
51, 0.052194
52, 0.051672
53, 0.051167
54, 0.050627
55, 0.050053
56, 0.049430
57, 0.048722
58, 0.047863
59, 0.046948
60, 0.046002
61, 0.044921
62, 0.043749
63, 0.042450
64, 0.041186
65, 0.039841
66, 0.038527
67, 0.037279
68, 0.036122
69, 0.035020
70, 0.034071
71, 0.033212
72, 0.032535
73, 0.031972
74, 0.031501
75, 0.031095
76, 0.030733
77, 0.030431
78, 0.030146
79, 0.029895
80, 0.029626
81, 0.029377
82, 0.029116
83, 0.028873
84, 0.028614
85, 0.028381
86, 0.028148
87, 0.027952
88, 0.027758
89, 0.027553
90, 0.027344
91, 0.027158
92, 0.026980
93, 0.026801
94, 0.026629
95, 0.026455
96, 0.026313
97, 0.026135
98, 0.025976
99, 0.025812
100, 0.025625
