Frames, Page Fault Rate
1, 0.792379
2, 0.792379
3, 0.790368
4, 0.785015
5, 0.775821
6, 0.652813
7, 0.788123
8, 0.787686
9, 0.629900
10, 0.791457
11, 0.788004
12, 0.616007
13, 0.788200
14, 0.644865
15, 0.661462
16, 0.782066
17, 0.708687
18, 0.789590
19, 0.772282
20, 0.773468
21, 0.753638
22, 0.741057
23, 0.644241
24, 0.755686
25, 0.641424
26, 0.788089
27, 0.788556
28, 0.789212
29, 0.749624
30, 0.684728
31, 0.788489
32, 0.789113
33, 0.663926
34, 0.727405
35, 0.680640
36, 0.723047
37, 0.695219
38, 0.690850
39, 0.786784
40, 0.751361
41, 0.639385
42, 0.744047
43, 0.783887
44, 0.610913
45, 0.624739
46, 0.773323
47, 0.709245
48, 0.688601
49, 0.709697
50, 0.702010
51, 0.684151
52, 0.575076
53, 0.592661
54, 0.717053
55, 0.763482
56, 0.765618
57, 0.732804
58, 0.764988
59, 0.656925
60, 0.758228
61, 0.698526
62, 0.592140
63, 0.758384
64, 0.761919
65, 0.626873
66, 0.560448
67, 0.627527
68, 0.734192
69, 0.641544
70, 0.711133
71, 0.759169
72, 0.754136
73, 0.657960
74, 0.595119
75, 0.609726
76, 0.648900
77, 0.725360
78, 0.720475
79, 0.715526
80, 0.689393
81, 0.725083
82, 0.724293
83, 0.632380
84, 0.590171
85, 0.704036
86, 0.724561
87, 0.725302
88, 0.593346
89, 0.660900
90, 0.723343
91, 0.720255
92, 0.722032
93, 0.658117
94, 0.598159
95, 0.667448
96, 0.642575
97, 0.725050
98, 0.701321
99, 0.657434
100, 0.725818
