Frames, Page Fault Rate
1, 0.763444
2, 0.541458
3, 0.435517
4, 0.380682
5, 0.346170
6, 0.322887
7, 0.306676
8, 0.293519
9, 0.280204
10, 0.264816
11, 0.249338
12, 0.236445
13, 0.225902
14, 0.215630
15, 0.204541
16, 0.191848
17, 0.175988
18, 0.157879
19, 0.141300
20, 0.127577
21, 0.116203
22, 0.106178
23, 0.097438
24, 0.089297
25, 0.082218
26, 0.075996
27, 0.070719
28, 0.066066
29, 0.062413
30, 0.058829
31, 0.055678
32, 0.053025
33, 0.050544
34, 0.048484
35, 0.046578
36, 0.044755
37, 0.043198
38, 0.041568
39, 0.040191
40, 0.038826
41, 0.037700
42, 0.036534
43, 0.035534
44, 0.034502
45, 0.033565
46, 0.032618
47, 0.031817
48, 0.031017
49, 0.030230
50, 0.029467
51, 0.028814
52, 0.028144
53, 0.027544
54, 0.026994
55, 0.026404
56, 0.025911
57, 0.025348
58, 0.024827
59, 0.024394
60, 0.024064
61, 0.023677
62, 0.023325
63, 0.022942
64, 0.022611
65, 0.022265
66, 0.021943
67, 0.021688
68, 0.021430
69, 0.021166
70, 0.020952
71, 0.020724
72, 0.020498
73, 0.020298
74, 0.020129
75, 0.019949
76, 0.019758
77, 0.019609
78, 0.019454
79, 0.019315
80, 0.019144
81, 0.019030
82, 0.018922
83, 0.018773
84, 0.018706
85, 0.018598
86, 0.018493
87, 0.018389
88, 0.018337
89, 0.018258
90, 0.018164
91, 0.018091
92, 0.017973
93, 0.017852
94, 0.017778
95, 0.017676
96, 0.017594
97, 0.017465
98, 0.017424
99, 0.017293
100, 0.017210
