Frames, Page Fault Rate
1, 0.763444
2, 0.445648
3, 0.716134
4, 0.402394
5, 0.380215
6, 0.356935
7, 0.627515
8, 0.374783
9, 0.394108
10, 0.361264
11, 0.366453
12, 0.363695
13, 0.335980
14, 0.320290
15, 0.361192
16, 0.326502
17, 0.311674
18, 0.338263
19, 0.367004
20, 0.307400
21, 0.298497
22, 0.291638
23, 0.295409
24, 0.296387
25, 0.306053
26, 0.288385
27, 0.432144
28, 0.294184
29, 0.308514
30, 0.526218
31, 0.557239
32, 0.288179
33, 0.278774
34, 0.278848
35, 0.295926
36, 0.276956
37, 0.305325
38, 0.279782
39, 0.274906
40, 0.276390
41, 0.280306
42, 0.275125
43, 0.276045
44, 0.271808
45, 0.281196
46, 0.273100
47, 0.273053
48, 0.282493
49, 0.273234
50, 0.273012
51, 0.272971
52, 0.271588
53, 0.269433
54, 0.270919
55, 0.275592
56, 0.270669
57, 0.267882
58, 0.269742
59, 0.270442
60, 0.270782
61, 0.427107
62, 0.270125
63, 0.267933
64, 0.272092
65, 0.271813
66, 0.270647
67, 0.235860
68, 0.268326
69, 0.268654
70, 0.267189
71, 0.268513
72, 0.265978
73, 0.266714
74, 0.266548
75, 0.266212
76, 0.266304
77, 0.271711
78, 0.266571
79, 0.291764
80, 0.264954
81, 0.264850
82, 0.265200
83, 0.284470
84, 0.266448
85, 0.263290
86, 0.262291
87, 0.264198
88, 0.277735
89, 0.262284
90, 0.261842
91, 0.255189
92, 0.262173
93, 0.261893
94, 0.262805
95, 0.261556
96, 0.244967
97, 0.261874
98, 0.262301
99, 0.261319
100, 0.244738
