Frames, Page Fault Rate
1, 0.716106
2, 0.464527
3, 0.347460
4, 0.284183
5, 0.246234
6, 0.220111
7, 0.201228
8, 0.186950
9, 0.176188
10, 0.167010
11, 0.159338
12, 0.153399
13, 0.148409
14, 0.143917
15, 0.139658
16, 0.136681
17, 0.133339
18, 0.131091
19, 0.128482
20, 0.126068
21, 0.124048
22, 0.121608
23, 0.119680
24, 0.118254
25, 0.116600
26, 0.115374
27, 0.113316
28, 0.111546
29, 0.110814
30, 0.109081
31, 0.108517
32, 0.107625
33, 0.105736
34, 0.104994
35, 0.104403
36, 0.102891
37, 0.101775
38, 0.100871
39, 0.099894
40, 0.099281
41, 0.098802
42, 0.097419
43, 0.096572
44, 0.095753
45, 0.095314
46, 0.094091
47, 0.093317
48, 0.092834
49, 0.091004
50, 0.091320
51, 0.091860
52, 0.089687
53, 0.089644
54, 0.088165
55, 0.087773
56, 0.087376
57, 0.086802
58, 0.086126
59, 0.085999
60, 0.084448
61, 0.084288
62, 0.083872
63, 0.083515
64, 0.082267
65, 0.082042
66, 0.081200
67, 0.081192
68, 0.080206
69, 0.081239
70, 0.079463
71, 0.079724
72, 0.078447
73, 0.077275
74, 0.077496
75, 0.077137
76, 0.076886
77, 0.076301
78, 0.076009
79, 0.074884
80, 0.074575
81, 0.074356
82, 0.074340
83, 0.074585
84, 0.073536
85, 0.071962
86, 0.072467
87, 0.071894
88, 0.071075
89, 0.071418
90, 0.069701
91, 0.070022
92, 0.069970
93, 0.069714
94, 0.068929
95, 0.069371
96, 0.068789
97, 0.069143
98, 0.067679
99, 0.067613
100, 0.067384
