Frames, Page Fault Rate
1, 0.716106
2, 0.403955
3, 0.297133
4, 0.243809
5, 0.217806
6, 0.199245
7, 0.184141
8, 0.171186
9, 0.160290
10, 0.150734
11, 0.142365
12, 0.135421
13, 0.129599
14, 0.124665
15, 0.120387
16, 0.116604
17, 0.113313
18, 0.110354
19, 0.107544
20, 0.105097
21, 0.102823
22, 0.100772
23, 0.098930
24, 0.097076
25, 0.095280
26, 0.093547
27, 0.091883
28, 0.090243
29, 0.088729
30, 0.087197
31, 0.085760
32, 0.084401
33, 0.083127
34, 0.081899
35, 0.080755
36, 0.079587
37, 0.078515
38, 0.077476
39, 0.076499
40, 0.075563
41, 0.074666
42, 0.073729
43, 0.072814
44, 0.072029
45, 0.071191
46, 0.070395
47, 0.069554
48, 0.068765
49, 0.068020
50, 0.067300
51, 0.066623
52, 0.065943
53, 0.065299
54, 0.064679
55, 0.064075
56, 0.063450
57, 0.062862
58, 0.062283
59, 0.061747
60, 0.061173
61, 0.060602
62, 0.060079
63, 0.059599
64, 0.059089
65, 0.058585
66, 0.058088
67, 0.057605
68, 0.057137
69, 0.056684
70, 0.056235
71, 0.055835
72, 0.055358
73, 0.054919
74, 0.054517
75, 0.054073
76, 0.053639
77, 0.053212
78, 0.052792
79, 0.052349
80, 0.051950
81, 0.051566
82, 0.051186
83, 0.050783
84, 0.050372
85, 0.050004
86, 0.049640
87, 0.049306
88, 0.048993
89, 0.048656
90, 0.048346
91, 0.048044
92, 0.047737
93, 0.047472
94, 0.047180
95, 0.046924
96, 0.046661
97, 0.046409
98, 0.046197
99, 0.045947
100, 0.045728
