Frames, Page Fault Rate
1, 0.792379
2, 0.792379
3, 0.792364
4, 0.791209
5, 0.791209
6, 0.791144
7, 0.791144
8, 0.791137
9, 0.791092
10, 0.791092
11, 0.791050
12, 0.791048
13, 0.791021
14, 0.790997
15, 0.790923
16, 0.790862
17, 0.789685
18, 0.789665
19, 0.789626
20, 0.789626
21, 0.789625
22, 0.789625
23, 0.789622
24, 0.789538
25, 0.789328
26, 0.789307
27, 0.789253
28, 0.789245
29, 0.789244
30, 0.788872
31, 0.788871
32, 0.788871
33, 0.788869
34, 0.788869
35, 0.788703
36, 0.788702
37, 0.788702
38, 0.788694
39, 0.788617
40, 0.788255
41, 0.788247
42, 0.788247
43, 0.788199
44, 0.788196
45, 0.773407
46, 0.773373
47, 0.773363
48, 0.773363
49, 0.772603
50, 0.772558
51, 0.772557
52, 0.772556
53, 0.772555
54, 0.772554
55, 0.772553
56, 0.772537
57, 0.772536
58, 0.772536
59, 0.772536
60, 0.772535
61, 0.772533
62, 0.772523
63, 0.772450
64, 0.772449
65, 0.772448
66, 0.772446
67, 0.772367
68, 0.772367
69, 0.772347
70, 0.772346
71, 0.772339
72, 0.772291
73, 0.772288
74, 0.726270
75, 0.726270
76, 0.726270
77, 0.726270
78, 0.726225
79, 0.726224
80, 0.726222
81, 0.726221
82, 0.726213
83, 0.726211
84, 0.726170
85, 0.726170
86, 0.726152
87, 0.726151
88, 0.726132
89, 0.726066
90, 0.726057
91, 0.726054
92, 0.726029
93, 0.726029
94, 0.726029
95, 0.726002
96, 0.725999
97, 0.725999
98, 0.725999
99, 0.725994
100, 0.725994
