Frames, Page Fault Rate
1, 0.763444
2, 0.545697
3, 0.451029
4, 0.395049
5, 0.358583
6, 0.331717
7, 0.309550
8, 0.290029
9, 0.272558
10, 0.256269
11, 0.241602
12, 0.227966
13, 0.214669
14, 0.202548
15, 0.190760
16, 0.179708
17, 0.169216
18, 0.159894
19, 0.150815
20, 0.143462
21, 0.135830
22, 0.127332
23, 0.121427
24, 0.115262
25, 0.109574
26, 0.104049
27, 0.098951
28, 0.095208
29, 0.090788
30, 0.088613
31, 0.082732
32, 0.080542
33, 0.076323
34, 0.074156
35, 0.070349
36, 0.069566
37, 0.067478
38, 0.065545
39, 0.062294
40, 0.062681
41, 0.061473
42, 0.059437
43, 0.057517
44, 0.056031
45, 0.055498
46, 0.055078
47, 0.052410
48, 0.052759
49, 0.051296
50, 0.049672
51, 0.048432
52, 0.048490
53, 0.047310
54, 0.046899
55, 0.044958
56, 0.045901
57, 0.042860
58, 0.044379
59, 0.044782
60, 0.042208
61, 0.041387
62, 0.040311
63, 0.041244
64, 0.040673
65, 0.039749
66, 0.039982
67, 0.038046
68, 0.037556
69, 0.037782
70, 0.037169
71, 0.036183
72, 0.035563
73, 0.035129
74, 0.034165
75, 0.034678
76, 0.034535
77, 0.033618
78, 0.032506
79, 0.032245
80, 0.032091
81, 0.033060
82, 0.031431
83, 0.032762
84, 0.031346
85, 0.029614
86, 0.029322
87, 0.029685
88, 0.028499
89, 0.028998
90, 0.028923
91, 0.028318
92, 0.027974
93, 0.026350
94, 0.027531
95, 0.026972
96, 0.025961
97, 0.027041
98, 0.026151
99, 0.026223
100, 0.026838
