Frames, Page Fault Rate
1, 0.763444
2, 0.470679
3, 0.391266
4, 0.346936
5, 0.326713
6, 0.311005
7, 0.297320
8, 0.285375
9, 0.272487
10, 0.257655
11, 0.241668
12, 0.225819
13, 0.210371
14, 0.195919
15, 0.183158
16, 0.171961
17, 0.160481
18, 0.147425
19, 0.131942
20, 0.115939
21, 0.101613
22, 0.090373
23, 0.082116
24, 0.075882
25, 0.070793
26, 0.066238
27, 0.062117
28, 0.058425
29, 0.055273
30, 0.052625
31, 0.050300
32, 0.048254
33, 0.046430
34, 0.044665
35, 0.043112
36, 0.041613
37, 0.040229
38, 0.038895
39, 0.037622
40, 0.036485
41, 0.035394
42, 0.034368
43, 0.033388
44, 0.032482
45, 0.031639
46, 0.030827
47, 0.030098
48, 0.029383
49, 0.028686
50, 0.027981
51, 0.027344
52, 0.026688
53, 0.026088
54, 0.025554
55, 0.025013
56, 0.024555
57, 0.024131
58, 0.023693
59, 0.023291
60, 0.022933
61, 0.022597
62, 0.022271
63, 0.021963
64, 0.021656
65, 0.021373
66, 0.021083
67, 0.020824
68, 0.020603
69, 0.020385
70, 0.020139
71, 0.019921
72, 0.019732
73, 0.019534
74, 0.019340
75, 0.019172
76, 0.019000
77, 0.018840
78, 0.018714
79, 0.018569
80, 0.018410
81, 0.018265
82, 0.018130
83, 0.018009
84, 0.017894
85, 0.017776
86, 0.017644
87, 0.017517
88, 0.017384
89, 0.017254
90, 0.017128
91, 0.017003
92, 0.016871
93, 0.016742
94, 0.016611
95, 0.016482
96, 0.016356
97, 0.016231
98, 0.016137
99, 0.016037
100, 0.015921
