Frames, Page Fault Rate
1, 0.763444
2, 0.445648
3, 0.402525
4, 0.380532
5, 0.380353
6, 0.354130
7, 0.354098
8, 0.353848
9, 0.353421
10, 0.343315
11, 0.342033
12, 0.341778
13, 0.340285
14, 0.320789
15, 0.320602
16, 0.320475
17, 0.320165
18, 0.320024
19, 0.318060
20, 0.298739
21, 0.298147
22, 0.291739
23, 0.291665
24, 0.290968
25, 0.290813
26, 0.287934
27, 0.287895
28, 0.287830
29, 0.287632
30, 0.287571
31, 0.286423
32, 0.279281
33, 0.278671
34, 0.278637
35, 0.277094
36, 0.277085
37, 0.275476
38, 0.275274
39, 0.275268
40, 0.275255
41, 0.275237
42, 0.275192
43, 0.275071
44, 0.273429
45, 0.273369
46, 0.273342
47, 0.273337
48, 0.273322
49, 0.273311
50, 0.273195
51, 0.273009
52, 0.272460
53, 0.270909
54, 0.270862
55, 0.270812
56, 0.270759
57, 0.270753
58, 0.270692
59, 0.270687
60, 0.270687
61, 0.270680
62, 0.270577
63, 0.270572
64, 0.270557
65, 0.270538
66, 0.270538
67, 0.270511
68, 0.268144
69, 0.268142
70, 0.268106
71, 0.268078
72, 0.266456
73, 0.266454
74, 0.266452
75, 0.266448
76, 0.266161
77, 0.266154
78, 0.265948
79, 0.265942
80, 0.265925
81, 0.265918
82, 0.265284
83, 0.265283
84, 0.265022
85, 0.263532
86, 0.262329
87, 0.262299
88, 0.262293
89, 0.262292
90, 0.262282
91, 0.262073
92, 0.262022
93, 0.261883
94, 0.261881
95, 0.261863
96, 0.261840
97, 0.261831
98, 0.261795
99, 0.261781
100, 0.261259
